"IBRC_Geo_ID","Metrofips/Microfips","Description","Year","Geography","BEA Per Capita Personal Income"
"210900","10900","Allentown-Bethlehem-Easton, NJ","2023","Metro","66493"
"210940","10940","Alma, MI","2001","Micro","21658"
"210940","10940","Alma, MI","2002","Micro","21579"
"210940","10940","Alma, MI","2003","Micro","21754"
"210940","10940","Alma, MI","2004","Micro","23441"
"210940","10940","Alma, MI","2005","Micro","24350"
"210940","10940","Alma, MI","2006","Micro","24564"
"210940","10940","Alma, MI","2007","Micro","25411"
"210940","10940","Alma, MI","2008","Micro","27158"
"210940","10940","Alma, MI","2009","Micro","27585"
"210940","10940","Alma, MI","2010","Micro","28766"
"210940","10940","Alma, MI","2011","Micro","31142"
"210940","10940","Alma, MI","2012","Micro","31475"
"210940","10940","Alma, MI","2013","Micro","31558"
"210940","10940","Alma, MI","2014","Micro","31831"
"210940","10940","Alma, MI","2015","Micro","33200"
"210940","10940","Alma, MI","2016","Micro","33620"
"210940","10940","Alma, MI","2017","Micro","34369"
"210940","10940","Alma, MI","2018","Micro","35625"
"210940","10940","Alma, MI","2019","Micro","36073"
"210940","10940","Alma, MI","2020","Micro","41228"
"210940","10940","Alma, MI","2021","Micro","44174"
"210940","10940","Alma, MI","2022","Micro","44050"
"210940","10940","Alma, MI","2023","Micro","45517"
"210980","10980","Alpena, MI","2001","Micro","25028"
"210980","10980","Alpena, MI","2002","Micro","25399"
"210980","10980","Alpena, MI","2003","Micro","26169"
"210980","10980","Alpena, MI","2004","Micro","26604"
"210980","10980","Alpena, MI","2005","Micro","27576"
"210980","10980","Alpena, MI","2006","Micro","28073"
"210980","10980","Alpena, MI","2007","Micro","29382"
"210980","10980","Alpena, MI","2008","Micro","31320"
"210980","10980","Alpena, MI","2009","Micro","30796"
"210980","10980","Alpena, MI","2010","Micro","32060"
"210980","10980","Alpena, MI","2011","Micro","33321"
"210980","10980","Alpena, MI","2012","Micro","33770"
"210980","10980","Alpena, MI","2013","Micro","33928"
"210980","10980","Alpena, MI","2014","Micro","34636"
"210980","10980","Alpena, MI","2015","Micro","36599"
"210980","10980","Alpena, MI","2016","Micro","37212"
"210980","10980","Alpena, MI","2017","Micro","38577"
"210980","10980","Alpena, MI","2018","Micro","39251"
"210980","10980","Alpena, MI","2019","Micro","40402"
"210980","10980","Alpena, MI","2020","Micro","45014"
"210980","10980","Alpena, MI","2021","Micro","48642"
"210980","10980","Alpena, MI","2022","Micro","48775"
"210980","10980","Alpena, MI","2023","Micro","51634"
"211020","11020","Altoona, PA","2001","Metro","25293"
"211020","11020","Altoona, PA","2002","Metro","26170"
"211020","11020","Altoona, PA","2003","Metro","27211"
"211020","11020","Altoona, PA","2004","Metro","28561"
"211020","11020","Altoona, PA","2005","Metro","29653"
"211020","11020","Altoona, PA","2006","Metro","30530"
"211020","11020","Altoona, PA","2007","Metro","32037"
"211020","11020","Altoona, PA","2008","Metro","33289"
"211020","11020","Altoona, PA","2009","Metro","33755"
"211020","11020","Altoona, PA","2010","Metro","35024"
"211020","11020","Altoona, PA","2011","Metro","36961"
"211020","11020","Altoona, PA","2012","Metro","37573"
"211020","11020","Altoona, PA","2013","Metro","37498"
"211020","11020","Altoona, PA","2014","Metro","38992"
"211020","11020","Altoona, PA","2015","Metro","40944"
"211020","11020","Altoona, PA","2016","Metro","41604"
"211020","11020","Altoona, PA","2017","Metro","42754"
"211020","11020","Altoona, PA","2018","Metro","44979"
