,Date,Open,High,Low,Close,Volume,Range,% Chg
417,2024-07-18,171.50,174.62,160.76,167.95,52903600,13.86,-2.07
418,2024-07-17,171.23,172.56,166.62,167.30,45052600,5.93,-2.29
419,2024-07-16,183.98,185.27,180.80,181.80,16663300,4.47,-1.18
420,2024-07-15,184.38,185.73,179.88,181.00,15683100,5.84,-1.83
421,2024-07-12,178.90,186.04,178.59,183.08,19220300,7.46,2.34
422,2024-07-11,188.69,189.06,178.84,180.30,21584200,10.22,-4.45
423,2024-07-10,183.99,187.06,182.45,186.70,19293500,4.61,1.47
424,2024-07-09,183.80,184.15,178.34,180.31,19935200,5.80,-1.90
425,2024-07-08,185.67,188.41,180.91,182.38,22582400,7.50,-1.77
426,2024-07-05,179.94,180.86,178.15,179.80,11372900,2.72,-0.08
427,2024-07-03,173.93,178.33,173.83,178.33,11808700,4.50,2.53
428,2024-07-02,167.23,172.68,167.13,171.70,10655500,5.55,2.67
429,2024-07-01,170.27,171.31,166.57,168.40,10717000,4.74,-1.10
430,2024-06-28,168.87,172.79,168.87,169.85,11216100,3.92,0.58
431,2024-06-27,169.83,171.48,167.25,167.72,10864600,4.23,-1.24
432,2024-06-26,168.20,169.73,166.32,168.15,11901500,3.41,-0.03
433,2024-06-25,166.08,168.71,165.16,168.67,13346800,3.55,1.56
434,2024-06-24,166.55,167.51,163.31,163.99,19741700,4.20,-1.54
435,2024-06-21,168.77,173.44,168.29,170.00,20175600,5.15,0.72
436,2024-06-20,178.42,179.00,169.55,171.38,28403200,9.45,-3.94
437,2024-06-18,175.92,180.65,174.91,175.60,27155100,5.74,-0.18
438,2024-06-17,173.79,174.60,169.53,173.20,18593700,5.07,-0.34
439,2024-06-14,168.08,169.68,166.48,168.58,9192500,3.21,0.30
440,2024-06-13,169.01,170.10,166.62,168.97,15591800,3.48,-0.02
441,2024-06-12,168.88,171.51,167.10,168.51,20309500,4.40,-0.22
442,2024-06-11,163.83,164.05,159.55,161.42,11508600,4.50,-1.47
443,2024-06-10,159.76,165.45,158.22,163.81,12418900,7.23,2.54
