,Date,Open,High,Low,Close,Volume,Range,% Chg
501,2024-03-18,147.39,150.90,145.96,146.47,69273700,4.94,-0.63
502,2024-03-15,141.33,142.01,138.88,140.02,49475400,3.12,-0.93
503,2024-03-14,140.03,142.41,139.31,141.93,42753400,3.10,1.35
504,2024-03-13,137.86,139.93,137.85,138.64,23347200,2.08,0.57
505,2024-03-12,135.91,138.24,135.91,137.36,27563400,2.33,1.07
506,2024-03-11,135.01,137.96,135.01,136.54,32437800,2.95,1.13
507,2024-03-08,133.11,136.96,132.90,134.30,39370400,4.06,0.89
508,2024-03-07,131.70,133.83,130.53,133.28,37738200,3.30,1.20
509,2024-03-06,132.03,132.49,129.78,130.32,35318600,2.71,-1.29
510,2024-03-05,130.80,132.15,129.60,131.58,40194800,2.55,0.60
511,2024-03-04,134.55,134.55,130.83,132.26,55999400,3.72,-1.70
512,2024-03-01,137.30,137.73,135.80,136.02,31151100,1.93,-0.93
513,2024-02-29,136.15,137.72,135.28,137.33,42133000,2.44,0.86
514,2024-02-28,136.77,136.88,134.30,135.26,37328600,2.58,-1.10
515,2024-02-27,136.89,138.11,135.97,137.74,33099200,2.14,0.62
516,2024-02-26,140.97,141.27,136.26,136.44,53641800,5.01,-3.22
517,2024-02-23,142.49,143.49,142.25,142.78,19493800,1.24,0.20
518,2024-02-22,143.74,143.81,141.63,142.91,27191900,2.18,-0.58
519,2024-02-21,140.29,141.52,139.53,141.38,23223300,1.99,0.78
520,2024-02-20,138.52,140.92,138.35,139.96,25144700,2.57,1.05
521,2024-02-16,141.82,142.02,138.99,139.37,31468900,3.03,-1.73
522,2024-02-15,141.97,142.34,139.31,141.60,37590700,3.03,-0.26
523,2024-02-14,144.88,145.32,142.91,144.74,22704200,2.41,-0.10
524,2024-02-13,143.73,145.47,142.51,143.95,27837700,2.96,0.15
525,2024-02-12,147.20,148.12,146.16,146.32,21564100,1.95,-0.60
526,2024-02-09,145.48,148.22,144.98,147.78,26829500,3.23,1.58
527,2024-02-08,144.63,145.13,143.91,144.71,22563800,1.22,0.05
528,2024-02-07,143.57,144.43,142.75,144.35,25208900,1.68,0.54
529,2024-02-06,143.46,144.17,142.02,142.92,29128200,2.15,-0.38
530,2024-02-05,141.65,144.28,141.61,142.50,38505400,2.67,0.60
531,2024-02-02,138.12,141.45,135.38,141.21,62499600,6.07,2.24
532,2024-02-01,140.96,141.89,139.64,140.00,40466500,2.25,-0.68
533,2024-01-31,142.44,142.82,138.72,138.95,71910000,4.10,-2.45
534,2024-01-30,151.55,152.36,149.95,150.22,36331800,2.41,-0.88
535,2024-01-29,150.81,152.52,150.19,152.25,27784300,2.33,0.95
536,2024-01-26,149.86,151.29,149.77,150.94,26115500,1.52,0.72
537,2024-01-25,148.84,151.80,148.31,150.63,29149100,3.48,1.20
538,2024-01-24,147.32,148.62,146.89,147.48,25233500,1.74,0.11
539,2024-01-23,144.69,145.97,144.31,145.83,21636100,1.67,0.79
540,2024-01-22,145.89,147.17,144.64,144.79,32200400,2.53,-0.75
541,2024-01-19,143.55,145.25,143.20,145.18,34271900,2.05,1.13
542,2024-01-18,140.89,143.03,140.83,142.30,25746400,2.20,1.01
543,2024-01-17,140.19,140.68,137.76,140.31,20968600,2.92,0.08
544,2024-01-16,140.84,143.17,140.29,141.32,22670500,2.88,0.35
545,2024-01-12,141.50,142.03,140.66,141.48,18785500,1.37,-0.01
546,2024-01-11,142.31,144.03,139.49,140.92,24008700,4.54,-0.98
547,2024-01-10,139.84,141.83,139.75,141.11,21320200,2.07,0.91
548,2024-01-09,137.36,140.33,137.02,139.79,24759600,3.31,1.77
549,2024-01-08,135.17,137.87,135.14,137.70,21404000,2.73,1.87
550,2024-01-05,135.63,136.04,134.04,134.62,22513900,1.99,-0.75
551,2024-01-04,137.29,138.02,135.23,135.27,27137700,2.79,-1.47
552,2024-01-03,136.12,138.49,135.96,137.78,24212100,2.53,1.22
553,2024-01-02,137.41,138.31,135.36,137.04,23711200,2.95,-0.27
554,2023-12-29,138.49,139.21,137.64,138.54,18733000,1.57,0.04
555,2023-12-28,139.63,139.98,138.60,139.08,16045700,1.38,-0.39
556,2023-12-27,140.43,140.92,138.74,139.22,19628600,2.17,-0.86
557,2023-12-26,140.43,141.51,140.03,140.36,16780300,1.48,-0.05
558,2023-12-22,139.62,140.83,139.56,140.33,26532200,1.27,0.51
559,2023-12-21,138.35,139.54,138.04,139.27,27488300,1.50,0.67
560,2023-12-20,137.83,140.54,136.94,137.21,49107200,3.60,-0.45
561,2023-12-19,135.72,136.34,134.96,135.53,25476800,1.38,-0.14
562,2023-12-18,131.54,136.03,131.34,134.69,32258000,4.68,2.39
563,2023-12-15,130.54,132.42,130.10,131.51,50847100,2.31,0.74
564,2023-12-14,132.29,132.62,128.63,130.86,38722400,4.00,-1.08
565,2023-12-13,132.29,132.41,130.49,131.48,30104800,1.91,-0.61
566,2023-12-12,130.73,131.91,130.18,131.43,29032800,1.73,0.54
567,2023-12-11,131.29,132.25,130.28,132.20,31138000,1.96,0.69
568,2023-12-08,133.10,135.28,132.93,133.88,32260100,2.35,0.59
569,2023-12-07,133.93,137.42,133.60,135.81,56767100,3.83,1.40
570,2023-12-06,130.36,130.76,128.82,128.95,23576200,1.94,-1.08
571,2023-12-05,127.89,131.06,127.20,129.92,27384800,3.86,1.58
572,2023-12-04,128.82,128.96,126.85,128.21,36669900,2.11,-0.47
573,2023-12-01,130.78,131.03,129.60,130.78,31442300,1.43,0.00
574,2023-11-30,133.94,134.44,130.20,131.44,38988300,4.24,-1.87
575,2023-11-29,136.44,137.16,133.73,133.88,23967200,3.42,-1.88
576,2023-11-28,134.96,136.12,134.31,136.08,18730000,1.82,0.82
577,2023-11-27,134.91,137.29,134.89,135.29,23436500,2.40,0.28
578,2023-11-24,136.90,137.00,134.88,135.57,12514300,2.12,-0.97
579,2023-11-22,136.34,138.28,136.34,137.35,17813900,1.93,0.74
580,2023-11-21,135.17,136.06,134.85,135.85,22635300,1.21,0.50
581,2023-11-20,132.59,135.54,132.52,135.13,27815500,3.02,1.91
582,2023-11-17,134.89,134.94,132.55,134.20,37240600,2.39,-0.51
583,2023-11-16,134.08,136.10,133.22,135.81,28013200,2.88,1.29
584,2023-11-15,133.76,133.92,132.48,133.52,23861500,1.45,-0.19
585,2023-11-14,133.09,134.59,132.23,132.52,32395200,2.36,-0.42
586,2023-11-13,130.70,131.50,130.17,131.01,18324800,1.33,0.24
587,2023-11-10,129.03,131.71,128.35,131.50,26913300,3.36,1.91
588,2023-11-09,130.88,131.46,129.00,129.17,23747800,2.46,-1.30
589,2023-11-08,129.90,131.13,129.71,130.76,26425800,1.42,0.66
590,2023-11-07,129.64,130.83,128.82,129.90,29757300,2.01,0.20
591,2023-11-06,127.99,129.27,127.62,129.18,19052700,1.66,0.93
592,2023-11-03,126.97,128.47,126.81,128.04,26393100,1.66,0.84
593,2023-11-02,127.37,127.92,125.89,126.44,27124600,2.03,-0.72
594,2023-11-01,123.05,125.45,122.71,125.41,30082400,2.75,1.92
595,2023-10-31,124.03,124.34,121.68,123.06,26292300,2.66,-0.78
596,2023-10-30,122.20,124.37,121.74,123.44,28940100,2.63,1.01
597,2023-10-27,121.87,122.30,119.22,121.17,44566500,3.07,-0.58
