,Date,Open,High,Low,Close,Volume,Range,% Chg
865,2022-10-04,250.52,257.50,242.01,249.44,109578500,15.49,-0.43
866,2022-10-03,254.50,255.16,241.01,242.40,98363500,14.15,-4.75
867,2022-09-30,266.15,275.57,262.47,265.25,67726600,13.10,-0.34
868,2022-09-29,282.76,283.65,265.78,268.21,77620600,17.87,-5.15
869,2022-09-28,283.08,289.00,277.57,287.81,54664800,11.43,1.67
870,2022-09-27,283.84,288.67,277.51,282.94,61925200,11.16,-0.32
871,2022-09-26,271.83,284.09,270.31,276.01,58076900,13.78,1.54
872,2022-09-23,283.09,284.50,272.82,275.33,63748400,11.68,-2.74
873,2022-09-22,299.86,301.29,285.82,288.59,70545400,15.47,-3.76
874,2022-09-21,308.29,313.80,300.63,300.80,62555700,13.17,-2.43
875,2022-09-20,306.91,313.33,305.58,308.73,61642800,7.75,0.59
876,2022-09-19,300.09,309.84,297.80,309.07,60231200,12.04,2.99
877,2022-09-16,299.61,303.71,295.60,303.35,87087800,8.11,1.25
878,2022-09-15,301.83,309.12,300.72,303.75,64795500,8.40,0.64
879,2022-09-14,292.24,306.00,291.64,302.61,72628700,14.36,3.55
880,2022-09-13,292.90,297.40,290.40,292.13,68229600,7.00,-0.26
881,2022-09-12,300.72,305.49,300.40,304.42,48674600,5.09,1.23
882,2022-09-09,291.67,299.85,291.25,299.68,54338100,8.60,2.75
883,2022-09-08,281.30,289.50,279.76,289.26,53713100,9.74,2.83
884,2022-09-07,273.10,283.84,272.27,283.70,50028900,11.57,3.88
885,2022-09-06,272.68,275.99,265.74,274.42,55860000,10.25,0.64
886,2022-09-02,281.07,282.35,269.08,270.21,50890100,13.27,-3.86
887,2022-09-01,272.58,277.58,266.15,277.16,54287000,11.43,1.68
888,2022-08-31,280.62,281.25,271.81,275.61,52107300,9.44,-1.79
889,2022-08-30,287.87,288.48,272.65,277.70,50541800,15.83,-3.53
890,2022-08-29,282.83,287.74,280.70,284.82,41864700,7.04,0.70
891,2022-08-26,297.43,302.00,287.47,288.09,57163900,14.53,-3.14
892,2022-08-25,302.36,302.96,291.60,296.07,53230000,11.36,-2.08
893,2022-08-24,297.56,303.65,296.50,297.10,57259800,7.15,-0.16
894,2022-08-23,291.45,298.83,287.92,296.45,63984900,10.90,1.72
895,2022-08-22,291.91,292.40,286.30,289.91,55843200,6.10,-0.69
896,2022-08-19,299.00,300.36,292.50,296.67,61395300,7.86,-0.78
897,2022-08-18,306.00,306.50,301.85,302.87,47500500,4.65,-1.02
898,2022-08-17,303.40,309.66,300.03,304.00,68766000,9.62,0.20
899,2022-08-16,311.67,314.67,302.88,306.56,88136400,11.78,-1.64
900,2022-08-15,301.79,313.13,301.23,309.32,89359200,11.90,2.50
901,2022-08-12,289.42,300.16,285.03,300.03,79657200,15.13,3.67
902,2022-08-11,296.51,298.24,285.83,286.63,70155000,12.40,-3.33
903,2022-08-10,297.07,297.51,283.37,294.36,94918800,14.14,-0.91
904,2022-08-09,290.29,292.40,279.35,283.33,86244600,13.04,-2.40
905,2022-08-08,295.00,305.20,289.09,290.42,98994000,16.11,-1.55
906,2022-08-05,302.67,304.61,285.54,288.17,113172900,19.06,-4.79
907,2022-08-04,311.00,313.61,305.00,308.63,72256200,8.61,-0.76
908,2022-08-03,305.00,309.55,301.15,307.40,80091000,8.40,0.79
909,2022-08-02,294.00,307.83,292.67,300.59,95577600,15.17,2.24
910,2022-08-01,301.28,311.88,295.00,297.28,117042900,16.88,-1.33
911,2022-07-29,280.70,298.32,279.10,297.15,95313000,19.22,5.86
912,2022-07-28,280.07,283.30,272.80,280.90,84723000,10.50,0.30
913,2022-07-27,263.81,275.93,261.79,274.82,88110000,14.14,4.17
914,2022-07-26,266.51,267.31,256.26,258.86,66820800,11.05,-2.87
915,2022-07-25,272.22,274.15,267.40,268.43,64073400,6.75,-1.39
916,2022-07-22,276.22,280.79,270.71,272.24,103472700,10.07,-1.44
917,2022-07-21,255.11,273.27,254.87,271.71,142032300,18.40,6.51
918,2022-07-20,246.78,250.66,243.48,247.50,88864200,7.18,0.29
919,2022-07-19,245.00,247.14,236.98,245.53,80890200,10.16,0.22
920,2022-07-18,244.94,250.52,239.60,240.55,82537500,10.91,-1.79
921,2022-07-15,240.00,243.62,236.89,240.07,69683100,6.73,0.03
922,2022-07-14,234.90,238.65,229.33,238.31,78557400,9.32,1.45
923,2022-07-13,225.50,242.06,225.03,237.04,97954500,17.03,5.12
924,2022-07-12,236.85,239.77,228.37,233.07,87930900,11.40,-1.59
925,2022-07-11,252.10,253.06,233.63,234.34,99241200,19.44,-7.04
926,2022-07-08,242.33,254.98,241.16,250.76,101854200,13.82,3.48
927,2022-07-07,233.92,245.36,232.21,244.54,81930600,13.15,4.54
928,2022-07-06,230.78,234.56,227.19,231.73,71853600,7.38,0.41
929,2022-07-05,223.00,233.15,216.17,233.07,84581100,16.98,4.51
930,2022-07-01,227.00,230.23,222.12,227.26,74460300,8.11,0.12
931,2022-06-30,224.51,229.46,218.86,224.47,94600500,10.59,-0.02
932,2022-06-29,230.50,231.17,222.27,228.49,82897200,8.90,-0.87
933,2022-06-28,244.48,249.97,232.34,232.66,90391200,17.63,-4.83
934,2022-06-27,249.37,252.07,242.57,244.92,89178300,9.50,-1.78
935,2022-06-24,237.47,246.07,236.09,245.71,95770800,9.98,3.47
936,2022-06-23,237.91,239.32,228.64,235.07,104202600,10.68,-1.19
937,2022-06-22,234.50,246.83,233.83,236.09,101107500,13.01,0.68
938,2022-06-21,224.60,243.58,224.33,237.04,122793000,19.24,5.54
939,2022-06-17,213.43,220.97,213.20,216.76,92641800,7.77,1.56
940,2022-06-16,222.74,225.17,208.69,213.10,107390700,16.47,-4.33
941,2022-06-15,220.92,235.66,218.15,233.00,119131800,17.51,5.47
942,2022-06-14,218.29,226.33,211.74,220.89,97988700,14.59,1.19
943,2022-06-13,223.17,226.63,214.68,215.74,102767400,11.95,-3.33
944,2022-06-10,235.16,239.50,227.91,232.23,97536600,11.59,-1.24
945,2022-06-09,249.34,255.55,239.33,239.71,96491400,16.22,-3.86
946,2022-06-08,240.09,249.96,239.18,241.87,76210500,10.79,0.74
947,2022-06-07,234.00,240.00,230.09,238.89,72808500,9.90,2.09
948,2022-06-06,244.35,244.87,234.35,238.28,84204600,10.52,-2.49
949,2022-06-03,243.23,247.80,233.42,234.52,112393800,14.38,-3.58
950,2022-06-02,244.16,264.21,242.07,258.33,93473100,22.14,5.81
951,2022-06-01,251.72,257.33,243.64,246.79,77247900,13.69,-1.96
952,2022-05-31,257.95,259.60,244.74,252.75,101914500,14.86,-2.01
953,2022-05-27,241.08,253.27,240.18,253.21,89295000,13.09,5.03
954,2022-05-26,220.47,239.56,217.89,235.91,106003200,21.67,7.00
955,2022-05-25,207.95,223.11,207.67,219.60,92139300,15.44,5.60
956,2022-05-24,217.84,217.97,206.86,209.39,89092500,11.12,-3.88
957,2022-05-23,218.34,226.65,212.69,224.97,88903500,13.97,3.04
958,2022-05-20,238.00,240.53,211.00,221.30,144973200,29.53,-7.02
959,2022-05-19,235.67,244.67,231.37,236.47,90296700,13.30,0.34
960,2022-05-18,248.17,253.50,233.60,236.60,87811800,19.90,-4.66
961,2022-05-17,249.12,254.83,242.95,253.87,80236200,11.88,1.91
962,2022-05-16,255.72,256.59,239.70,241.46,86098500,16.89,-5.58
963,2022-05-13,257.83,262.45,250.52,256.53,92150700,11.93,-0.50
964,2022-05-12,233.67,253.22,226.67,242.67,140313000,26.55,3.85
965,2022-05-11,265.00,269.92,242.40,244.67,97224600,27.52,-7.67
966,2022-05-10,273.10,275.12,258.08,266.68,84401700,17.04,-2.35
967,2022-05-09,278.82,281.88,260.38,262.37,90810300,21.49,-5.90
968,2022-05-06,295.67,296.00,281.04,288.55,72903000,14.96,-2.41
969,2022-05-05,313.01,315.20,285.90,291.09,92519100,29.30,-7.00
970,2022-05-04,301.31,318.50,295.09,317.54,81643800,23.41,5.39
971,2022-05-03,301.06,308.03,296.20,303.08,63709500,11.83,0.67
972,2022-05-02,286.92,302.12,282.68,300.98,75781500,19.44,4.90
973,2022-04-29,300.75,311.47,290.00,290.25,88133100,21.47,-3.49
974,2022-04-28,299.99,300.00,273.90,292.50,124948500,26.10,-2.50
975,2022-04-27,299.53,306.00,292.45,293.84,76956300,13.55,-1.90
976,2022-04-26,331.81,333.33,291.67,292.14,136133700,41.67,-11.96
977,2022-04-25,326.32,336.21,325.10,332.67,68341200,11.11,1.95
978,2022-04-22,338.30,344.95,331.33,335.02,69696600,13.62,-0.97
979,2022-04-21,358.24,364.07,332.14,336.26,105416400,31.93,-6.14
